label,text
0,Still havent found a job 
1,@DaMatrixDWI see how can u get around the word  love in music or life?! You can't 
1,@pokeyoats is it a test to gauge audience reaction? who ARE you?! 
1,@DaniAlexLuna Have a great night!! Get some sleep for a change!!!  LOL
1,"@deepbluesealove oh cool, I think I am following her but haven't seen her ppst yet "
0,"@beast476 I'm not bad at u, ur just online when Im not, sowwie "
1,@FashionKristin That kinda makes me feel better. Wish more ppl in SA would blog... So I could enter more giveaways  Haha. Sleep well!
1,@unfolder There's no pause button in the game of life. 
0,my head hurts  showwer soon.
1,@nadiaparry all good thanks  how was the move?
1,"@thanktank hey, thank YOU for the shout out "
1,"eating food to keep me awake to watch the soccer. plus, keeps me alert and ready to worry and/or control my anger "
1,@jrock2890 Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
1,"@Roqayah oh wonderful, mashaAllah!  which law school? yay  i'm so proud of you ))"
1,@Hideyourlove But it's still exciting 
0,@rachelmasseybby haha i pictured tommy behind a laptop reading slash and nikki storming into the room yelling &quot;WTF!&quot; and tommy being like 
1,@GoldenFish00 Haha =D didn't had school yesterday either.. 1st of may! your inner calender gets better next week when school starts again 
1,@OfficialAshleyG Let Kellan do Poopy Scoopy Duties hahahahahaha 
0,im gettin a bit desperate...why doesnt twitter take my new pic?! 
0,The red-line (DC Metro) subway/train cars that crashed--sounds like it was at or around my old stop #TakomaPark 
1,@cazob lolz i thought i had but i couldn't rember. awwww that should be goood tho 
1,@mustberae hahaha that's fresh! I gotta get back on that r&amp;b grind now 
1,@klovesNkotb  She will be THRILLED...it's going to be AWESOME watching this concert through her eyes 
0,@decor8: sorry to hear of your loss.  love- your friends at Emmaline Bride
0,hey hey tweeterville how is everyone?? weathers pretty pants 
1,Kings XI in different mooooooood ...yohoooo...!! 2 in 2.... yuvi on hattrick.. go yuvi go..!!  #ipl 79-5
0,Stduying for exams  seeeing @libbyglazer and @princessKENDALL laterrrr! Yayayaayyayy
1,"@5erg Hello, nice to meet you too! Any friend of @ruhanirabin is a friend of mine! Thanks for the tweet. "
1,@ajitmoses SNS adyar... booze + pool 
1,@ColorblindFish Morning! Have a great day 
0,"@sociaIIyawkward I dont think he wants to meet me, so I should just try and move on....I just dont know how to do it!!!    I am not cont.."
1,"gee wiz, how did i manage to get 491 favourites on youtube :p "
1,@haydenblack  My husband in character 4 a shoot  http://bit.ly/1aytgY  He is the ugly redhead in a black dress  Glad u had a rock'n day
0,Headache! PLEASE go away!  My dad wanna bring me to the clinic but I said NO! :/
1,&quot;Blame it on Me&quot; will be a classic.  I have an ear for these things.  
0,"@jayyy143 hmmm, i hope so. and i hope they are okay.  they SEEM REALLY PISSED OFF!"
0,ahhh i'm gonna die farout. VE is doing a video chat now 
1,@siwhitehouse oh dear. Sounds horrid. Best wishes for speedy recoveries to all 
1,~~&gt; @krystynchong @esukop @BuzzEdition @webaddict @seekzpeace They rock! *may be habit forming*   #FollowFriday
1,@c_patz Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
1,@l_eau they're great!!!!!  I'm always a tad skeptical but at 4am it's much more believable! How have you been hun?
0,@therezzza I have nothing else to do 
1,"5:23 am, and I never did mischief.  Guess I'll go to bed."
0,@meaghankayye so much time off of work already with everything going on this summer. 
1,@hellohayley_ Good luck with you exams; hope you pass them all! 
0,@BendyyStrawz im a freak?  me and you should pull an all nighter next weekend..im painting my room then too! woo
0,"@craigeryowens: Is the contest over?? I just got a camera today, do I still have time? "
0,tommorow it's gonna be sunnnyyy!no rain but friday BIG CLOUDSSS 
1,Good morning y'all!  Eek! Had to re-design site this morning ... all done! Phew! Now to catch up on twitter  *hugs to all*  Missed you!
0,@ginoobear: I'm supposed to go eat shaved ice later too..... Omg I'm gonna explode.  Like Diana's large illness. Haahahhh.
0,@KateEdwards they hurt don't though? There's a huge turnover at the Paddington store. It can make or break a lunch 
0,@TheMadVender and I can't do a thing... 
0,@AdieJonas it was a Rottweiler 
1,@dizzyfeet good witch bad witch? Glinda wasn't ugly 
1,American Apparel makes the softest clothes ever. Love me some AA; no I don't drink! 
0,Before traveling to Belgium I have to wait for the arrival of my hairy friend http://twitpic.com/2kojw. D*mned we is he hanging out? 
0,"i just asked david, james &amp; tom...'can you BBQ fries' &amp;&amp;&amp; they laughed at me  LOL"
1,@OMGAlexander you're fabulous. 
0,Im giving up on twitter. My pic is gone my background is gone..I'm hopeless when it comes to technology!! 
1,@arisaja three slices can still be justified as 'a couple of slices' 
1,@Mizzgena05 Then you better hurry up and get here cos I'm leaving now 
1,@ksavai thats helpful 
1,"@gfalcone601 You're right! The kids are really crazy! But it's funny to watch it, right?  xx"
0,@ladymaryann the free twitter account cant be given somebodys changed the password 
1,@michaelbatty y whats happening? for me im going to P!NK sun night whoop whoop  EXCITED
1,"@mileycyrus you're going to be amazing. best of luck, beautiful  you're going to win!"
1,"@5DollarDinners 8am dr appt for just a grownup is hard enough....but with 2 small kids? Yeah, THAT's a challenge! Grin, bear it, &amp; learn! "
0,@mumbleguy Yay for you. I got nada   Just a grocery list. 
0,Omg my head hurts 
0,@theknickermafia Awwww   Safe journey!
1,@BreBabyIzBadd GOOD . .  
0,JJRogue: Battery dead. The truck won't start 
0,UGH LAURA WHAT HAVE YOU DONE I HAVE NEARLY RUN OUT OF HONEY SOY CHICKEN CHIPS 
0,done for today... soooo tired and my foot still hurts 
0,@Tracy_R cilla fell off the stage dancing to aitken drum in the last show 
1,@JamieMK thanks for #followfriday 
1,cutest thing everrrr  http://bit.ly/6l5eI
1,@an_other awww... kisses make everything better 
0,@Musicangel88  hope you feel better soon.
1,@OweeW neither have i.. meh ohwell 
0,@Prevuze Hey sorry to hear you guys are having such issues.  I just peeked at the photos! lmao
1,@Niamhy Howdy! Thanks for the add 
1,well just done a paper  round in a storm :S then came home. very loud shaking thunder happened therefore th pc turned on automatically 
0,@F1Badger oh dear  Hope it clears up for you - maybe its getting all the rain for the weekend out the way today ;)
1,@joepolitics im going to dm you my number... and a msg. please read! 
0,@keza34 lol he nicked my follower feedback idear 
1,@socalsangels Awww... Its all good. 
0,"@Mbitch19 Hey bb! Its been ages since i've spoken 2 u! Its very quiet in robsten land, I think its gonna be a very long summer "
1,@y2kprawn did you move the DNS over recently? 
1,@MontyRules  I already gave you the link to confirm she is the real Ms Taylor   http://bit.ly/mXgg4
0,O.K I'm off to work!  I have a feeling this is gone to be one long hangover inflicted shift! Laterss!
0,Here come the Twilight awards... 
1,@stephaniepratt Hey girl friend! I have a quick question for you  Standard cut... Read More: http://is.gd/OOV9
1,@plnaugle Nah --- I am just tech cozy.   Just makes sense -- not digitally nothing but comfy.      but will go watch the video
1,@jangles all feedback on wlwbackup welcome 
